Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
GET336,M001,21830,1.5,Adv. Enterprise Data Analysis,Jill Rose Jones,5:15pm - 8:05pm,M,Hinds Hall 010
GET365,M001,21783,1.5,Business Value of IT,Timothy D. Stedman,5:15pm - 8:00pm,W,Hinds Hall 011
GET375,M001,21808,1.5,Management of IT Contracting,P Douglas Taber,9:30am - 10:50am,TuTh,Hinds Hall 010
GET434,M001,21782,3.0,Global Computing Challenges,Gary Friedman,2:15pm - 5:00pm,M,Hinds Hall 010
GET471,M001,21715,1.0,GET Internship,Susan Monica Bonzi,12:00am - 12:00am,,
IDS401,M001,21734,3.0,What's the Big Idea?,William C Padgett  Marcene S. Sonneborn,2:00pm - 3:20pm,TuTh,Hinds Hall 111
IDS600,M001,29404,3.0,What's the Big Idea,William C Padgett  Marcene S. Sonneborn,2:00pm - 3:20pm,TuTh,Hinds Hall 111
IST101,M001,21763,1.0,Freshman Forum,Deborah L Nosky,3:45pm - 5:05pm,M,Maxwell Hall Aud
IST101,M002,21764,1.0,Freshman Forum,Jeffrey Rubin,2:00pm - 2:55pm,Tu,Hinds Hall 121
IST101,M003,21765,1.0,Freshman Forum,Deborah L Nosky,9:30am - 10:25am,Th,Hinds Hall 120
IST101,M004,21766,1.0,Freshman Forum,Jeffrey Rubin,9:30am - 10:25am,W,Hinds Hall 120
IST101,M005,21767,1.0,Freshman Forum,Bruce R Kingma,11:40am - 12:35pm,W,Hinds Hall 120
IST101,M008,21770,1.0,Freshman Forum,David J Molta,11:00am - 11:55am,Th,Hinds Hall 120
IST101,M009,21771,1.0,Freshman Forum,Bahram A Attaie,2:00pm - 2:55pm,Tu,Hinds Hall 120
IST101,M010,21772,1.0,Freshman Forum,Renee F. Hill,11:00am - 12:20pm,Tu,Hinds Hall 120
IST195,M001,21652,3.0,Information Technologies,Jeffrey Rubin,10:35am - 11:30am,MW,Watson Theater
IST195,M002,21653,3.0,LAB: Information Technologies,Jeffrey Rubin,9:30am - 10:25am,F,Hinds Hall 010
IST195,M003,21654,3.0,LAB: Information Technologies,Jeffrey Rubin,2:15pm - 3:10pm,F,Hinds Hall 010
IST195,M004,21655,3.0,LAB: Information Technologies,Jeffrey Rubin,12:45pm - 1:40pm,F,Hinds Hall 010
IST195,M005,21656,3.0,LAB: Information Technologies,Jeffrey Rubin,3:45pm - 4:40pm,F,Hinds Hall 010
IST195,M006,21657,3.0,LAB: Information Technologies,Jeffrey Rubin,10:35am - 11:30am,F,Hinds Hall 010
IST195,M007,21658,3.0,LAB: Information Technologies,Jeffrey Rubin,8:25am - 9:20am,F,Hinds Hall 010
IST195,M008,21659,3.0,LAB: Information Technologies,Jeffrey Rubin,11:40am - 12:35pm,F,Hinds Hall 010
IST195,M009,21674,3.0,LAB: Information Technologies,A Randall Wenner,6:30pm - 7:50pm,Th,Hinds Hall 010
IST195,M010,21759,3.0,Information Technologies,A Randall Wenner,5:00pm - 6:20pm,Th,Newhouse 3 250
IST200,M001,21741,1.0,Transfer Forum,Julie L Huynh,3:30pm - 4:25pm,Tu,Hinds Hall 120
IST200,M003,21788,1.0,Transfer Forum,Julie L Huynh,3:45pm - 5:05pm,M,Hinds Hall 120
IST233,M001,21636,3.0,Intro to Computer Networking,David J Molta,12:30pm - 1:50pm,TuTh,Lyman Hall 132
IST233,M002,21705,3.0,LAB: Intro to Computer Networking,David J Molta,10:35am - 11:30am,F,Hinds Hall 027
IST233,M003,21706,3.0,LAB: Intro to Computer Networking,David J Molta,11:40am - 12:35pm,F,Hinds Hall 027
IST233,M004,21707,3.0,LAB: Intro to Computer Networking,David J Molta,12:45pm - 1:40pm,F,Hinds Hall 027
IST233,M005,21716,3.0,LAB: Intro to Computer Networking,David J Molta,2:15pm - 3:10pm,F,Hinds Hall 027
IST233,M006,21752,3.0,LAB: Intro to Computer Networking,S Bruce Boardman,5:00pm - 6:20pm,Th,Hinds Hall 027
IST233,M007,21773,3.0,Intro to Computer Networking,S Bruce Boardman,5:00pm - 6:20pm,Tu,Hall of Languages 205
IST233,M008,28732,3.0,Intro to Computer Networking,S Bruce Boardman,9:30am - 10:25am,MWF,Hinds Hall 027  Link Hall 373
IST256,M002,21712,3.0,Appl.Prog.For Information Syst,Michael A Fudge Jr,12:30pm - 1:50pm,TuTh,Hinds Hall 010
IST256,M004,21730,3.0,Appl.Prog.For Information Syst,Michael A Fudge Jr,3:45pm - 5:05pm,MW,Hinds Hall 027
IST256,M001,21758,3.0,Appl.Prog.For Information Syst,Kevin J Bom,5:00pm - 6:20pm,TuTh,Hinds Hall 010
IST256,M003,28708,3.0,Appl.Prog.For Information Syst,Kevin J Bom,2:15pm - 3:35pm,MW,Hinds Hall 027
IST263,M001,21708,3.0,Web Design and Mgmt,Christian A Kirkegaard,11:00am - 12:20pm,TuTh,Hinds Hall 027
IST263,M002,21720,3.0,Web Design and Mgmt,Christian A Kirkegaard,8:00am - 9:20am,TuTh,Hinds Hall 011
IST263,M003,21778,3.0,Web Design and Mgmt,Joseph E Flateau,8:00am - 9:20am,MW,Hinds Hall 111
IST263,M004,28864,3.0,Web Design and Mgmt,Michael McCafferty Clarke,3:30pm - 4:50pm,TuTh,Hinds Hall 027
IST300,M001,21671,1.0,Information Studies Skills,Julie L Huynh,12:00am - 12:00am,,
IST323,M001,21673,3.0,Intro to Information Security,Joon S. Park,2:15pm - 3:35pm,MW,Hinds Hall 021
