Date / Time,City,State,Shape,Duration,Summary,Posted
3/29/16 20:00,Windham,NH,Triangle,1 minute,Multiple UFO's spotted flying out of unknown light.,4/1/2016
3/29/16 19:39,Crestline,CA,Disk,20 seconds,Seen circular object with 1 circular light in the middle. Also 2 strips of lights on the side. Went straight up into the sky.,4/1/2016
3/29/16 19:00,Dedham,MA,Formation,5 minutes,No noise reported. ((anonymous report)),5/26/2016
3/29/16 17:00,Surprise,AZ,Disk,2 minutes,Started in middle of sky...made a turn....when I closed up with camara yhe object seemed flat but invisible..I see a lit of military je,5/26/2016
3/29/16 15:30,Aurora,CO,Triangle,20-30 seconds,5-7 white triangles observed flying in formation.,4/15/2016
3/29/16 14:30,Denver Metro,CO,Light,5-10 minutes,It was partially cloudy and sun. Saw between 20-30 small lights flying in a tornado like formation going in and out of the clouds.,4/1/2016
3/29/16 06:45,Royal Palm Beach,FL,Flash,1 minutes,Light orb shoots across the sky into a portal.,4/1/2016
3/29/16 06:40,Boca Raton,FL,Fireball,5 seconds,We saw what looked like a very large shooting star or ball of fire moving very fast and very low from West to East.,4/1/2016
3/29/16 06:30,Auckland (New Zealand),,Cone,15 minutes,"Hovering and flying in angular positions and darting with lights and very birght lights over Waiheke Island, Auckland, New Zealand",4/1/2016
3/29/16 06:25,Port Saint Lucie,FL,Sphere,3 seconds,"Quick, bright, green. ((NUFORC Note: Possible meteor?? PD))",4/1/2016
3/29/16 02:00,St. Paul,MN,Triangle,still occuring,Triangular craft in stealth mode.,4/1/2016
3/28/16 23:45,Hamden,CT,Flash,3-5 seconds,((HOAX??)) Blue-Green flash in the night sky.,4/1/2016
3/28/16 22:30,Islamabad (Pakistan),,Sphere,10 minutes,Glowing UFO's/UFO fireballs.,4/1/2016
3/28/16 22:00,North Myrtle Beach,SC,Cigar,3 seconds,Walking the beach with my family we saw two lines of six orange dots in a row. There were 2 in close proximity to each other.,4/1/2016
3/28/16 21:30,Monroe,NC,Other,15 minutes,I look up at the sky and I see a light in the sky E of where I was sitting. The light changed color. ((NUFORC Note: Star?? PD)),4/1/2016
3/28/16 21:05,Mt. Juliet,TN,Flash,3 minutes,((HOAX??)) Flashing lights travelling fast across the sky.,4/1/2016
3/28/16 21:00,Rochester,IL,Fireball,~2 hours,"((HOAX??)) Started w/ 1 light on E hor., followed it, grew to countless lights over 2 hrs., along with close encounter ground sighting.",4/1/2016
3/28/16 19:49,Stafford,VA,Circle,5 minutes,Very bright light with small light circling around it.,4/1/2016
3/28/16 12:30,Tucson,AZ,Light,60 seconds,Light sphere becomes hawk.,4/1/2016
3/28/16 09:34,Elyria,OH,Unknown,5 seconds,((HOAX??)) There were three shapes with blinking lights northwest of where I was standing.,4/1/2016
3/28/16 06:30,Glenwood Springs,CO,Disk,3 minutes,Sighting disk object with two rows of red lights hovering above trees.,4/1/2016
3/28/16 04:25,Lakside,MT,Fireball,30 seconds,((HOAX??)) Two large orange fireballs.,4/1/2016
3/28/16 00:15,Paradise,CA,Flash,Continuing,"Looking towards north, I noticed a full sky flashing, which continued every few minutes without any sound??",4/1/2016
3/27/16 22:30,Tulsa,OK,Cross,5 minutes,"T-shaped object, moving slow, with one red one green and four white lights.",4/1/2016
3/27/16 21:32,Gum Springs,AR,Light,01:23,"Bright starlike light, pulsating in the sky over Gum Springs, Arkansas. ((NUFORC Note: Sighting of Sirius?? PD))",4/1/2016
3/27/16 21:29,Johannesburg (South Africa),,Formation,10-15 seconds,V-shaped formation of 20 - 30 fast moving copper / orange objects,4/15/2016
3/27/16 21:00,Epping,NH,Cylinder,18 minutes,"On March 27, at 9:30pm, while sitting on my deck in Epping, NH, I was suddenly illuminated by a bright flash in the NW sky.",4/1/2016
3/27/16 20:50,Santa Maria,CA,Disk,2 minutes,All lights appeared white that blinked in sequence around the object. May have a redlight in the middle that turned off suddenly.,4/1/2016
3/27/16 20:45,Bakersfield,CA,Fireball,15 minutes,"It looks like a Fire Ballon, there were 3 , no sound. What can it be?",4/1/2016
3/27/16 20:30,Naples,FL,Circle,2 minutes,"I walked outside to walk my dog. In the eastern sky an object, round, bright red, and in a slightly irregular motion (like it was wobbl",4/1/2016
3/27/16 18:00,Lubbock,TX,Rectangle,2 hours,Wired objects in West Texas.,4/1/2016
3/27/16 17:00,Los Angeles,CA,Sphere,10 seconds,"I was on a flight (American Airline Express) back home from Monterey, CA. At exactly 5:50pm we were flying over what it seemed Inglewoo",4/1/2016
3/26/16 23:40,Oklahoma City,OK,Sphere,10 seconds,"Very large orange light in the sky with the moon to the south east of Oklahoma City, Oklahoma.",4/1/2016
3/26/16 23:30,Pelican,AK,Sphere,01:30,Multiple objects with multiple colors did respond to our attempt to signal with our lights.,4/1/2016
3/26/16 23:15,Cedaredge,CO,Flash,5 minutes,MULTIPLE INTERMITENT FLASHES OF LIGHT,4/1/2016
3/26/16 22:30,El Paso,TX,Triangle,,"I let my dog outside for her last bathroom bake for the night. I looked up at the sky as I always do, but this time I notice a flashin",4/1/2016
3/26/16 22:30,Sequim,WA,Fireball,5 minutes,"Two fireballs in formation, moving north to south. Weather conditions were light breeze and moderate rain. Both fireballs disappeared",4/1/2016
3/26/16 22:30,Glenview,IL,Light,15 minutes,"I witnessed for the second Saturday in a row, a very bright white light approximately straight overhead. The light is not constant but",4/1/2016
3/26/16 21:55,Riverside,CA,Light,1 second,Green light that quickly fell downwards,4/1/2016
3/26/16 21:55,White Plains,MD,Light,2-4 minutes,Lowering light blue bright light. cloudy only light in sky.,4/1/2016
3/26/16 21:20,New Lexington,OH,Disk,2 minutes,I tried to enter the time in the correct box but it would not allow me. But the sighting took place at 9:20 P.M. or 21:20 P.M. Military,4/1/2016
3/26/16 20:30,Baltimore,MD,Oval,3-8 minutes,"Report of six orange glowing objects flying at high altitude coming from the southwest flying northwest over Baltimore, Maryland at app",4/1/2016
3/26/16 20:15,Sarasota,FL,Circle,3 minutes,There were two purple lights in the western sky. One was in a fixed position and the other one came from below it. It dropped directly,4/1/2016
3/26/16 20:15,Pembroke Pines,FL,Fireball,1.5-2.0 minutes,"Shocking, caught me off guard!",4/1/2016
3/26/16 20:00,West Newbury,MA,Teardrop,15 minutes,A procession of slow moving orange fireball object were observed in the sky,4/1/2016
3/26/16 20:00,Chesterville,ME,Unknown,4 hours,"Red, white and blue flashing lights.",4/1/2016
3/26/16 18:45,Wigan (UK/England),NT,Triangle,5 minutes,I was sat on my couch with my son age 4 and a half when I saw the three separate orange orbs.,4/1/2016
3/26/16 18:30,Globe,AZ,Rectangle,30 minutes,Lights over globe as 3-26-16,4/15/2016
3/26/16 18:00,North Hollywood,CA,Light,5 minutes,Miracle had to see it to believe it,4/1/2016
3/26/16 15:30,York,PA,Circle,20 minutes,Saw multiple low flying planes over head which is odd for our area. As they were passing by we took notice to this very bright spot in,4/1/2016
3/26/16 14:30,Fort Collins,CO,Triangle,24 seconds,7500-9000ft this object approximately stationary 20 seconds above where i was playing basketball and then it moved out east faster than,4/1/2016
3/26/16 14:25,Sacramento,CA,Egg,2.5 minutes,Luminescent Egg Shaped Object in Sky on SW Flight,4/15/2016
3/25/16 23:00,Bridgton,ME,Circle,30 minutes,((HOAX??)) 1 red small light and 2 small yellow lights glaring through the trees low and bouncing.,4/1/2016
3/25/16 22:00,Reseda,CA,Triangle,5-7 minutes,"Strange reddish orange lights in a triangular pattern spotted in the Southwest sky over Los Angeles, 3/25/16.",4/1/2016
3/25/16 22:00,Acworth,GA,Circle,,I walked out of my house and looked up that's when I saw something circular shaped with brite white lights that is why I filed the repo,4/1/2016
3/25/16 22:00,Kirkland/Kenmore,WA,Sphere,14 minutes,"15-20 orange spheres floating in triangular patterns in the night sky would disappear in peculiar ways, and sound was suppressed.",4/1/2016
3/25/16 21:00,Bainbridge Island,WA,Light,2 minutes,My friend and I were outside looking at the stars when we saw this light moving across the sky. First we thought it was a satellite but,4/1/2016
3/25/16 20:00,Milwaukie,OR,Triangle,3 minutes,I saw one red and two orange flying object in the sky.,4/1/2016
3/25/16 19:30,Paragould,AR,Other,10 minutes,"Falling object in daylight with streak of black smoke trail, turns and travels opposite from Earth along the same route that it fell.",4/1/2016
3/25/16 17:30,Fairbanks,AK,Sphere,,I took 3 photos of the sky on 3/25/2016 and in my photos I noticed blue object. ((NUFORC Note: Lens flares. PD)),4/1/2016
3/25/16 15:00,Mojave,CA,Other,,UFO in picture!,4/1/2016
3/25/16 14:00,Gouldsboro,PA,Triangle,15 seconds,"3 black triangles traveling like a jet, 15 minute spacing in between all from west to east and same path, spotted directly overhead.",4/1/2016
3/25/16 04:38,Jackson,KY,Triangle,4 minutes,"Saw a triangular object way high up fly back and forth, stop, then start back again multiple times.",4/15/2016
3/25/16 03:45,Lakewood,NJ,Triangle,1 hour,Triangle shaped object. Hovering over 1 hour. Red and green lights flashing sporadically. ((NUFORC Note: Star?? PD)),4/1/2016
3/25/16 02:00,Albuquerque,NM,Triangle,3 seconds,"Saw three orange lights that formed a triangle, and moved across the sky super fast.",4/1/2016
3/24/16 22:50,Chester,VA,Disk,2-3 seconds,"Hi Peter, One sighting tonight, March 24th, of a luminous bright gold colored saucer shaped object for about two to three seconds thoug",4/1/2016
3/24/16 21:30,Lorenzo,TX,Light,15 seconds,Three flashing lights in the night sky on a horizontal line with the bottom of the moon as one light moved rapidly between.,4/1/2016
3/24/16 21:10,Gainesville,FL,Flash,<1 second,"I saw what appeared to be an exploding satellite @ ~9:10 PM March 24, 2016",4/1/2016
3/23/16 23:00,Meadow Creek,KY,Sphere,20 minutes,9 red-orange spheres witnessed by two people flying overhead from southwest to northeast in rural SE Kentucky.,3/24/2016
3/23/16 22:50,Pasadena,MD,Unknown,5 minutes,Bright flashing light moving slow across sky. accompanied by many dimmer lights,3/24/2016
3/23/16 22:00,North Haven,CT,Changing,10 minutes,"Multiple objects, big and small, surrounded my numerous unmarked helicopters.",4/1/2016
3/23/16 21:58,Pawleys Island,SC,Light,4 seconds,4 orange lights over ocean for 4 seconds.,3/24/2016
3/23/16 21:20,Stratham,NH,Rectangle,6+ minutes,Large floating rectangle just hovering. It had four or so large headlights. The light beams projected quite far into the night sky.,3/24/2016
3/23/16 21:10,Jacksonville,FL,Fireball,20 seconds,Fireball chased by jets.,3/24/2016
3/23/16 21:00,Fairbanks,AK,Triangle,10 minutes,Three triangle shaped objects would appear and disappear for 15 minutes orangish in color,3/24/2016
3/23/16 21:00,Eugene,OR,Triangle,2 minutes,"I went to smoke outside, when I noticed a triangle in sky. I would say it was three separate orbs but in a perfect triangle.",3/24/2016
3/23/16 20:40,Largo,FL,Light,5 minutes,3 lights in sky in triangle formation which eventually separated very quickly.,3/24/2016
3/23/16 20:18,Mesa,AZ,Teardrop,1.30,A craft over a house in East Mesa..,4/29/2016
3/23/16 12:30,Tirana (Albania),AL,Cone,20 seconds,"I was driving in the streets of Tirana, Albania, and I saw a bright light in the sky. I saw 2 cone-shaped things.",3/24/2016
3/23/16 12:00,Iran,,Other,1 second,"Picture of black parrallelogram, static, between clouds and mountain area.",4/1/2016
3/23/16 00:15,Voorhees,NJ,Diamond,30 seconds,Diamond Shape Craft Circling Over The Hospital,4/1/2016
3/22/16 22:53,Poinciana,FL,Triangle,2 hours,"I was watching the full moon through my window when I see a strange light,It is moving fast,I called my husband and son,and they were a",4/15/2016
3/22/16 22:20,Ocean Isle Beach,NC,Light,25+ minutes,"6 ""Strobing"" Lights in Formation + 2 Large Orbs + 1 Slow-moving Red Light. Wow!",4/1/2016
3/22/16 21:29,Philadelphia,PA,Other,seconds,Bright white object by Phila Airport High Up Across Sky,3/24/2016
3/22/16 21:00,Kelso,WA,Fireball,10 minutes,((NUFORC Note: Witness provides no information. PD)),3/24/2016
3/22/16 20:30,Calangute (India; Goa),,Formation,1,"UFO Sighting Goa, India, 22 March'16 Baga Creek, Calangute ""Me and my Best Friend Akshay Kauthankar aka ""Hunter"" were",4/15/2016
3/22/16 08:43,New Port Richey,FL,Oval,2 minutes,White oval object moving from East to West,3/24/2016
3/22/16 03:45,Byrdstown,TN,Disk,5-10 minutes,"Saucer looking shape, but was so far away you could barely tell. Lights flashing and hazy trail left behind when moving upward.",3/24/2016
3/22/16 03:15,Baltimore,MD,Oval,,"Saw what I thought was a star that was changing colors red green blue white, i watched it for about half hour thinking it was celestial",4/1/2016
3/22/16 00:00,Bloomington,IL,Disk,Unknown,((HOAX??)) I dont know if this was a dream or if i was abducted.,3/24/2016
3/22/16 00:00,Placheville,LA,Rectangle,2 hours +,"Last night from around 11 pm till 2 am was walking dog outside in my yard.heard a buzzing,vibrating noise. looked up to the west and",3/24/2016
3/21/16 23:55,Westminster,MD,Circle,20 minutes+,"I saw a very bright ""star"" looking object moving very slowly.",3/24/2016
3/21/16 23:15,Hampton,VA,Sphere,5 minutes,Stationery green sphere changed to red and beginning moving northwest.,3/24/2016
3/21/16 21:45,New York City (Queens),NY,Light,5 seconds,Fast moving light w/no noise and low altitude.,3/24/2016
3/21/16 21:30,Des Plaines,IL,Fireball,4 minutes,"5 fireballs in the sky over Des Plaines/Glenview, Illinois.",3/24/2016
3/21/16 21:26,Denver,CO,Circle,7 minutes,"Two UFO craft sighted in Denver-One strobing with forward momentum, the other hovering.",4/1/2016
3/21/16 20:45,West Grove,PA,Circle,3-4 seconds,Bright ball of light east of me traveling in a South Easterly direction. Very clear and distinct ball of light. Larger than anything I,3/24/2016
3/21/16 13:00,Albuquerque,NM,Sphere,~2 minutes,I dont remember the exact date but there was a storm brewing over Albuquerque. The skies looked beautiful my husband and I went outside,5/10/2016
3/21/16 05:00,South Branch (Canada),NB,Other,20 seconds,"Entity seen at 5:00 am. We were awakened by our 7 month old son crying, we heard this on the baby monitor.",3/24/2016
3/21/16 03:18,Highland,IN,Other,5 minutes,Bright light with a arch like U red lights make square in back.,3/24/2016
3/21/16 02:08,Bowling Green,KY,Light,1 hour-ongoing,2 orange-red star like light hovering subtle maneuvering up down right left zig zag.,3/24/2016
3/21/16 00:00,Wylie and Rowlett,TX,Fireball,25 minutes,"I observed several balls of fire and strobing lights that seemed to be chasing each other over the night sky over Wylie, TX.",3/24/2016
3/20/16 20:00,West Grove,PA,Fireball,3 minutes,"Orange reddish circular object in southeastern sky around 8 pm, was moving E to W. Very heavy cloud cover.",3/24/2016
3/20/16 19:30,Canton,MI,Light,15 minutes,"UFO looked like Venus bright white light holding postion in dusk sky, as planes came in veiw UFO cloaked out.",4/1/2016
3/20/16 11:45,Denver,CO,Cigar,<1 minute,"Two white cigar shaped UFO's stop and hover over I-25 in Denver, then change to an amber color and disappear.",3/24/2016
3/20/16 11:30,Cincinnati,OH,Light,10 minutes,"On Sunday, March 20th 2016 at approximately 11:20 am, I was leaving my house to take my usual exercise walk around the neighborhood. As",3/24/2016
3/20/16 05:30,Elbert,CO,Other,10 minutes,String of 5 Total Lights That Slowly Moved In A Span Of About 15 Minutes,3/24/2016
3/20/16 04:00,Lagrange,NY,Unknown,15 seconds,Silent aircraft in wooded area.,3/24/2016
3/20/16 01:26,Albuquerque,NM,Light,2:00 minutes,Two orange orbs heading east over Albuquerque towards the south end of Sandia Mountains.,3/24/2016
3/20/16 00:30,Minneapolis,MN,Unknown,30 minutes,"Object in sky; red, green, white lights. ((NUFORC Note: Possibly advertising lights at nearby casino. PD))",3/24/2016
3/20/16 00:00,Santa Cruz,CA,Fireball,30 minutes,"We were driving on Hwy 1 & noticed about 7 fireballs soaring straight down at the earth, almost like shooting stars. I pulled over and",3/24/2016
3/19/16 21:00,Lafayette,LA,Oval,1 hour,As stated above. No movement just all that I saw. Perhaps someone else saw this.,3/24/2016
3/19/16 20:13,Albany,OR,Triangle,20 minutes,Oregon UFO spotted near I-5 North towards Salem.,3/24/2016
3/19/16 19:45,New York City (Bronx),NY,Formation,5 minutes,Witnessed 6-7 multi-colored lights in a random formation. The event lasted 5 minutes. Each light vanished one at a time.,3/24/2016
3/19/16 13:00,Sacramento,CA,Other,5 minutes,Long-tail aircraft that curved up.,3/24/2016
3/19/16 06:30,Colorado Springs,CO,Changing,32 minutes,"Thin light accompanied with 2 orange orbs,Colorado Springs, CO.",4/1/2016
3/19/16 01:30,Cody,WY,Other,10 minutes,Two silver glinting objects move purposefully in the clear blue sky above Cody Wy.,3/24/2016
3/18/16 23:45,Lincoln,NE,Triangle,6 seconds,"Large triangle shape, defined by a series of dim lights moving silently and fast. South to north over Lincoln, Nebraska.",3/24/2016
3/18/16 23:05,Spokane Valley,WA,Circle,10 seconds,I was looking up at an awesome moon circle and saw a satellite moving from northwest to southeast it then changed directions at a highe,3/24/2016
3/18/16 22:25,Castro Valley,CA,Triangle,10 minutes,Object was seen again hoovering over Castro valley Blvd on the west bound. traveling in circular pattern from southern sky and then mov,3/24/2016
3/18/16 21:45,Sutherlin,OR,Circle,3 minutes,Small red object hovering in sky then drops a glowing white object twice it's size and red light disappeared shortly after,3/24/2016
3/18/16 21:35,Grants Pass,OR,Sphere,3-4 minutes,Slow moving flames that interacted with a green light.,3/24/2016
3/18/16 21:00,Barefoot Bay,FL,Fireball,2-3 minutes,It looked like a fireball slowly moving from South to North.,3/24/2016
3/18/16 21:00,Eau Gallie,FL,Fireball,45 seconds,"Red/white fireball in Melbourne, Florida.",3/24/2016
3/18/16 20:30,Felton,DE,Circle,4 minutes,One bright round white light changed to two orange round lights and then to one red blinking and one orange.,3/24/2016
3/18/16 20:20,Mesa,AZ,Triangle,25 seconds,Triangular shape object flying overhead maybe 50 feet was seen.,3/24/2016
3/18/16 20:00,Port St. Lucie,FL,Fireball,5 minutes,4 fireballs hovering close above.,3/24/2016
3/18/16 19:20,Orleans (Canada),ON,Fireball,1 minute,"At approximately 19:20 on Friday, March 18, 2016, I was travelling West down RR128 when I spotted a bright light in the sky to my left",3/24/2016
3/18/16 18:00,Independence,MO,Light,>1 hour,"Star-like obj. moving to L and R, up and down, but stays in rel. same area. Looks like a star, twinkling. ((NUFORC Note: Star?? PD))",3/24/2016
3/18/16 17:00,Sinking Spring,PA,Disk,seconds,Shiny metallic saucer-shaped aircraft.,4/1/2016
3/18/16 16:40,Ludlow,MA,Sphere,30 seconds,Small round silverfish objects over Masspike.,3/24/2016
3/18/16 11:15,Portsmouth,VA,Oval,2 minutes,Seen an oval in the sky their were planes flying in the area above it but not military planes it traveled east for about 2 mins and the,3/24/2016
3/18/16 11:15,Portsmouth,VA,Oval,2 minutes,Never seen this in broad daylight.,3/18/2016
3/18/16 06:00,Canton,MI,Triangle,1 minute,Silent triangular shaped object with flashing white/yellow lights was spotted in hovering over neighborhood.,3/24/2016
3/18/16 00:32,Clinton,MI,Light,3 hours,Light has been moving left to right for the passed 3 hours lights flickering constantly. ((NUFORC Note: Star or planet?? PD)),3/18/2016
3/18/16 00:00,Glide,OR,Light,>15 minutes,"Lights in sky appeared to be blinking/flashing; got binocs, noticed 1 light was red, green, blue,and gold. ((NUFORC Note: Star? PD))",3/18/2016
3/18/16 00:00,Newport Beach,CA,Disk,~2 hours,"Blinding light and loud noises, followed by orbs in the sky.",3/18/2016
3/17/16 23:00,Martinsburg,WV,Unknown,3 seconds,"Octagonal, bright, white/blue, light that flashed 3 x, and disappeared",3/18/2016
3/17/16 22:40,Castro Valley,CA,Triangle,5 minutes,"Triangular craft seen over Castro Valley, CA.",3/24/2016
3/17/16 22:00,Stamford,CT,Light,10+ minutes,Orbs of bright light traveling tightly in formation over LI Sound.,3/18/2016
3/17/16 22:00,Blocksburg,CA,,1 minute,Fireworks type explosion seen in the dark sky just above horizon at 22:00 on 03/18/16.,3/18/2016
3/17/16 21:25,Chula Vista,CA,Fireball,3 minutes,Fiery ball of flames that was no meteor being fallowed by helicopters.,3/18/2016
3/17/16 20:55,San Ysidro (Baja??),CA,Oval,10 minutes,"2050 through 2100 hrs., San Ysidro, CA. I observed two bright flashing lights approximately SSW at about 30-degrees elev..",3/18/2016
3/17/16 20:34,Goshen,IN,Circle,90 seconds,Saw 12 to 15 yellowish orange circles flying across the sky. Looked like some of the circular objects were bouncing up/down.,3/18/2016
3/17/16 20:20,West Linn,OR,Diamond,5 minutes,"Driving home from work through West Linn, OR and noticed a bright diamond shaped light in the south east. It was brighter then a plane",3/24/2016
3/17/16 20:10,Madison,WI,Disk,1-3 seconds,On bike path just west of Black Hawk Golf Course. I looked up in the sky and it appeared to look like a shooting star. Then I could t,3/18/2016
3/17/16 19:28,Zephyrhills,FL,Fireball,25 seconds,Watched a fireball enter the atmosphere then change into what was perceived as a star. Then 5 or so seconds later another showed up. Af,3/18/2016
3/17/16 06:05,Marshall,MO,Other,10 seconds,Two crafts with numerous orange lights.,3/18/2016
3/17/16 05:30,Pine Grove,CA,Sphere,10 minutes,Yard was lit up and a huge blinding bright light shaped like a sphere was moving towards the end of the street.,4/1/2016
3/17/16 05:00,Pueblo,CO,Triangle,20 minutes,Amber colored lights in triangular formation.,3/18/2016
3/17/16 04:15,Brampton (Canada),ON,Unknown,Unknown,Hovering object so bright like a star. ((NUFORC Note: We suspect a possible sighting of a star or planet. PD)),3/18/2016
3/17/16 04:00,Lagrange,NY,Light,Ongoing,Moving constellations.,3/18/2016
3/17/16 02:00,Winchester,VA,Unknown,2-3 minutes,"Extremely high altitude, slow moving flashing light, random flashing and in brightness. White in color.",3/18/2016
3/17/16 01:45,Sterling,IL,Disk,20,"3 of us have seen this UFO at least 6 times, with an extra friend seeing it tonight. It was more flat in shape, and only omitted white",3/18/2016
3/17/16 01:30,Franklin Furnace,OH,Flash,10 minutes,Lights in the sky.,3/18/2016
3/16/16 23:28,Murray,KY,Disk,10 minutes,"A disc fly very low, no sound 6 white lights across the center and multipal colors lights between the white lights, going SW.",3/18/2016
3/16/16 21:40,Turlock,CA,Light,30 seconds,Light flashed in 3 durations moving short distance over head then dramatically accelerated and continue to flash as it traveled.,3/18/2016
3/16/16 21:40,Santa Fe,NM,Triangle,1 minutes,3 glowing red lights flew low over the 599 relief route near the highway I-285 junction,3/24/2016
3/16/16 21:15,Kernersville,NC,Fireball,5 minutes,Orangish Red glowing lights.,3/18/2016
3/16/16 21:00,Denver,CO,Formation,3 minutes,Orange lights in a formation off of I-70.,3/18/2016
3/16/16 21:00,Ormond Beach,FL,Fireball,10 seconds,We saw a sparking fireball in the night sky.,5/20/2016
3/16/16 20:30,Anniston,AL,Flash,2 minutes,3 illuminating green streaks of light in same 3/4 mile.,3/18/2016
3/16/16 20:00,Nogal,NM,Sphere,2 minutes,"My spouse and I saw bright red orbs off in the horizon. At first I saw 2, then they both disappeared at the same time for a few secs.",3/18/2016
3/16/16 15:33,Smithfield,NC,Unknown,15 minutes,"Very large craft with a bright light in front of it seen near Smithfield , NC",3/18/2016
3/16/16 15:30,Forrest City,AR,Sphere,2-5 minutes,"Orb like object over Forrest City, Arkansas.",3/18/2016
3/16/16 14:00,Mount Shasta,CA,Cigar,>5 minutes,"3rd sighting of a tube/cigar shaped craft flying South to North, the 1st being stationary over Mt. Shasta City.",4/22/2016
3/16/16 06:00,Murfreesboro,TN,Unknown,10 seconds,"After roll call a group of police officers were standing in the parking lot talking. A very loud, low rumble, like a freight train is",3/18/2016
3/15/16 23:15,"Washington, D.C.",DC,Chevron,2 minutes,large boomerang floating across sky in wash.d.c.-observed with night vision goggles.,3/18/2016
3/15/16 21:45,Adelaide (Australia),,Triangle,5-8 seconds,Triangular Aircraft Sighting,3/18/2016
3/15/16 21:00,Plymouth Meeting,PA,Triangle,7 seconds,"I didn't only see this object but ""felt""; its presence also, like I was seeing something I should not have been able to.",3/18/2016
3/15/16 20:45,Canton,CT,Other,5 seconds,Very low flying craft moving slow looked lie a ship with many lights (20). If the Goodyear blimp were in town I'd say maybe. Craft disa,3/18/2016
3/15/16 20:20,London (Canada),ON,Light,30 minutes,"White flashing stationary light west of London, Ontario.",3/18/2016
3/15/16 20:04,Barstow,CA,Other,10 minutes,"The object first appeared in the sky around 8:04 PM Barstow time. It appeared to have a kind of flame coming from it at first, but then",3/24/2016
3/15/16 20:00,Omak,WA,Oval,1 hour,UFO flies above and around Omak around 20:00hrs on 3/15/16.,3/18/2016
3/15/16 19:28,Fort Lauderdale,FL,Fireball,3 minutes,Fireball at dusk in south Florida.,3/18/2016
