Date / Time,City,State,Shape,Duration,Summary,Posted
3/31/16 23:30,St. Helens,OR,Formation,2 hours,They looked like stars but 13 where in a row then they dispersed threw the sky. They had bright flashing lights like cop cars! could se,4/1/2016
3/31/16 22:05,Shasta Lake,CA,Fireball,~45 seconds,3 bright red lights seen traveling over Shasta Lake City then suddenly disappearing one right after the other,4/15/2016
3/31/16 22:02,Arlington,TX,Oval,2 minutes,Bright object shots up and disappears into space.,4/1/2016
3/31/16 20:30,Rehoboth Beach,DE,Oval,20 minutes,We spotted an oval-shaped aircraft while driving on route one; did not fly like a helicopter and was too round to be a plane; flying in,4/1/2016
3/31/16 17:30,Ft. Lauderdale,FL,Light,3 minutes,Large light moving in a pendulum like motion.,4/1/2016
3/31/16 04:00,San Diego,CA,Cylinder,90 minutes,Many bright rotations of cylinder air crafts.,4/1/2016
3/31/16 03:00,Chapmanville,WV,Diamond,4-5 minutes,Hexagonal shaped craft flew through the sky in the early hours of March 31 with extraterrestrial movements.,4/1/2016
3/31/16 02:00,Portland,OR,Light,3-5 seconds,"Went on a bike ride with my headphones in, was almost home i looked left casually and looked in the sky. I saw a VERY WHITE bright ligh",4/1/2016
3/31/16 01:00,Preston (UK/England),,Light,30 minutes,Blinking light over England/UK.,4/1/2016
3/31/16 00:21,Redmond,OR,Light,15 minutes,Hovering flashing light over Sister's Mountains.,4/15/2016
3/30/16 00:00,Burien,WA,Disk,8 seconds,DISC SHAPED CRAFT SPIRALED BY AS I LOOKED OUT UPSTAIRS WINDOW.,4/15/2016
3/30/16 23:00,Phoenix,AZ,Changing,5-10 minutes,Strange light or object in North Phoenix sky,4/15/2016
3/30/16 21:00,Columbus,GA,Other,3 minutes,I have pics!,4/1/2016
3/30/16 20:45,Bushkill,PA,Diamond,2 minutes,Diamond/Star Like Bright Object Flying Low in the Sky with No other lights or sound.,4/1/2016
3/30/16 13:30,Sacramento,CA,Sphere,3 minutes,Object hovering and changing shapes.,4/15/2016
3/30/16 07:55,New York City (Queens),NY,Oval,2-3 minutes,NYC UFO.,4/1/2016
3/30/16 05:00,Surprise,AZ,Other,1 minute,Have video appeared middle of sky forming a cloud behind no aircraft no typical cloud... I zoomed in no aircraft in visible or flat was,4/29/2016
3/30/16 00:30,Maywood,CA,Circle,1 hour,((HOAX??)) Object flying over atmosphere blinking red.ready to do something.possibly invade land.,4/1/2016
3/30/16 00:00,Corydon,IN,Triangle,All night,Why are there silent aircraft flying over corydon at night? Also why are there so many going in the same direction?,4/1/2016
3/30/16 00:00,High Point,NC,Disk,10 seconds,Disk oval shaped with light coming down fast and disappearing in mid air!!,4/1/2016
3/30/16,Winston-Salem,NC,Fireball,5 minutes,Very large firecolor came from the trees and moved slow across the sky. Once it got above my house it fizzled out.. it started out a fi,4/1/2016
3/29/16 23:01,Irondequoit,NY,Circle,30 minutes,Initially one bright flashing object caught our attention. After looking further we counted up to seven. They all exhibited the same,4/1/2016
3/29/16 22:15,Myrtle Beach,SC,Circle,10 seconds,Orange orbs appearing in random patterns for 2-12 seconds along with flashes of light across the Atlantic.,4/1/2016
3/29/16 20:51,Shelton,WA,Light,~2 minutes,Slow-flying lights were NOT a commercial airliner!,4/1/2016
3/29/16 20:30,Morro Bay,CA,Unknown,3 minutes,Unusually bright aircraft-like light that suddenly dimmed.,4/1/2016
3/29/16 20:25,Verona,WI,Triangle,30 seconds,Flying translucent triangle shape and transformer explosion.,4/1/2016
3/29/16 20:14,Auburn,NY,Triangle,4 minutes,I saw a bright orange triangle with no sound flying southeast. ((NUFORC Note: Overflight of ISS. PD)),4/1/2016
