Date / Time,City,State,Shape,Duration,Summary,Posted
2/29/16 23:45,Harbor Beach,MI,Light,1 minute,Yellow/white ball of light.,3/4/2016
2/29/16 23:30,Sebastian,FL,Triangle,20-40 minutes,6 low flying craft with loud engines and 2 white lights on wings and 2 red flashing lights near center,3/4/2016
2/29/16 23:00,Salunga/Landisville area right by highway 283,PA,Triangle,5-15 minutes,Pennsylvania triangular aircraft sighting.,3/4/2016
2/29/16 22:00,York,PA,Triangle,30 minutes,Myself and 2 friends of mine were driving to the store and noticed a small string of connected lights and didn't think much of it. I su,3/4/2016
2/29/16 21:35,Joliet,IL,Unknown,10 minutes,At approximately 21:35 we heard a very loud noise coming from the sky. It sound like a very loud jet plane.,3/4/2016
2/29/16 21:00,London (Buckinghamshire)(UK/England),,Triangle,45 minutes,"Black triangle, no noise, impossible mobility for its size, sighting lasted 45 minutes.",4/1/2016
2/29/16 20:45,Port Hope (Canada),ON,Light,20 minutes,"Strange glowing lights, approximately 4, moving in circular motion through the clouds lighting up behind the clouds.",3/4/2016
2/29/16 20:29,Warner Robins,GA,Fireball,2 minutes,There were several (8 or 9) glowing orange balls of light moving north north-east.,3/4/2016
2/29/16 19:50,Athens,GA,Other,Few seconds,Object with a line of white lights moving slowly and close to the ground.,3/4/2016
2/29/16 19:30,Clinton,MO,Unknown,20 minutes,Orange low level lights appearing and disappearing in an irregular manner repeatedly.,3/4/2016
2/29/16 19:20,Stover,MO,Formation,5 minutes,"At least 6 orange orbs appeared and disappeared S-SE of Stover, MO.",3/4/2016
2/29/16 19:20,Chandler,AZ,Triangle,10 minutes,"Flashing red/orange light looking like it was on fire in the sky near Warner & Dobson Rds in Chandler, Az then disappeared!!!",3/4/2016
2/29/16 19:00,Sarasota,FL,Circle,4 minutes,"Two bright orange orbs were moving west to east, one behind the other. They seemed to have a ""gassy"" look and sparks were falling.",3/4/2016
2/29/16 18:45,"Bolivar, Hermitage, and Urbana",MO,Light,45 minutes,"I was driving N from Bolivar, MO, to Hermitage Mo and then to Urbana at approx. 6:45 I noticed a bright light in the northern sky the",3/4/2016
2/29/16 18:30,LaMonte,MO,,40 minutes,((HOAX??)) Bright red horizontal balls of light.,3/4/2016
2/29/16 18:20,Edwards,CA,Chevron,30 seconds,"Line of numerous lights moving in unison toward the W, disappearing and reappearing, multiple witnesses. Possibly a single object.",3/4/2016
2/29/16 18:15,San Antonio,TX,Cigar,3 minutes,Metallic cigar shaped objects. Changed to round or were pulling away upwards.,3/4/2016
2/29/16 18:09,Mojave,CA,Circle,~2 minutes,Line of lights high above the Mojave Desert near Mojave.,3/4/2016
2/29/16 18:00,Parker,CO,Light,3 hours,"Lights flickered in the sky, eventually surrounding one larger, brighter light.",3/4/2016
2/29/16 17:45,Ridgecrest,CA,Cigar,7 seconds,"Multiple lights in the sky, burnout.",3/4/2016
2/29/16 17:28,Worcester,MA,Changing,2:02,Day time morphing ufo. From one object to 5 objects !!,4/22/2016
2/29/16 09:05,Cherryville,NC,Unknown,30 minutes,Loud horn-like noise for thirty minutes every few minutes - didn't notice a pattern.,3/4/2016
2/29/16 01:46,Alpharetta,GA,Light,10 seconds,"2 lights flying with abnormal way, similar to an insect",3/4/2016
2/29/16 01:00,Phoenix,AZ,Circle,2 hours,"UFO sighting over Phoenix, AZ 02/29/16",3/4/2016
2/29/16 00:00,Thornton,CO,Fireball,2 minutes,2 orange fireballs traveling together.,3/4/2016
