Date / Time,City,State,Shape,Duration,Summary,Posted
2/28/16 23:30,Lapeer,MI,Unknown,3 seconds/2 seconds,"((HOAX??)) Bright turquoise light in the sky over Lapeer, MI.",3/4/2016
2/28/16 22:35,Marshfield,MO,Triangle,10 minutes,"The craft was close enough we could see it perfectly, it was a triangle craft, low flying and completely silent.",3/4/2016
2/28/16 22:30,Tannersville,PA,Circle,2 seconds,Bright ball of light shooting past us.,3/4/2016
2/28/16 22:30,Tannersville,PA,Circle,Few seconds,Blue/white orb spotted at a very low altitude moving in a linear fashion at a medium-high speed.,3/4/2016
2/28/16 21:30,Centreville,VA,Triangle,10 seconds,V-shaped UFO flew by directly overhead fast and silently.,3/4/2016
2/28/16 21:00,Rosiclare,IL,Triangle,5 minutes,"7 ""satellite"" objects within five minutes? ((NUFORC Note: Possible sightings of satellites?? PD))",3/4/2016
2/28/16 20:55,Suffern,NY,Chevron,on-going,"Many hovering, quiet aircraft over Rockland Co (NY) & Bergen County (NJ).",3/4/2016
2/28/16 20:30,DuBois,PA,Light,1 minute,"Increase from soft light to a bright glow, 90 degree movement.",3/4/2016
2/28/16 20:05,Chula Vista,CA,Unknown,5,((HOAX??)) Lights that moved abnormaly.,3/4/2016
2/28/16 20:01,Bandon,OR,Oval,2.5 hours,"Bright white hovering oval light with spires shooting out from it. Looks like a star, but doesn't twinkle. Isn't a planet.",3/4/2016
2/28/16 19:30,Pray/Livingston (between),MT,Cigar,1 minute,"40 foot long Cigar shaped object with 2 beaming lights transitioning from white to green, very bright, moving in an unidentified motion",3/4/2016
2/28/16 19:00,Colorado Springs,CO,Circle,45 seconds,Read full report.,3/4/2016
2/28/16 18:45,New York City,NY,Light,2 minutes,Two bright stationary lights seen in the sky. ((NUFORC Note: Possible landing lights on approaching airliners?? PD)),3/4/2016
2/28/16 17:18,Pittstown,NJ,Triangle,45 seconds,"Diamond shaped shiny reflective ufo sighted in Hunterdon County, NJ.",3/4/2016
2/28/16 16:30,Goose Creek,SC,Cylinder,3,It was moving northwest slow about 5000 feet off ground then stopped and started moving south. We turned around to slap a picture.,3/4/2016
2/28/16 15:00,Levene,AZ,Triangle,25 minutes,"White, shiny triangles.",3/4/2016
2/28/16 15:00,Charlotte (outside of; I-485),NC,Other,5 minutes+,Daytime sighting of Boeing 737s suspended motionless in air over 485 outside Charlotte.,3/4/2016
2/28/16 06:59,Rubidoux,CA,Light,20 minutes,Bright blue ufo and major power outage in my town.,3/4/2016
2/28/16 05:20,Ivy Bluff,TN,Light,4 minutes,"Very large, bright & slowly flashing object moving across the western horizon heading south!",3/4/2016
2/28/16 05:00,Washington,PA,Light,90 minutes,I saw a bright light in the sky that was brighter then the north star so I filmed it and it started moving in every direction and expan,3/4/2016
2/28/16 03:48,Westminster,CO,Chevron,3-4 seconds,Three white lights in chevron formation shoot across sky and then vanish.,3/4/2016
2/28/16 01:00,Osceola,IN,Rectangle,30 minutes,"((HOAX??)) While I was outside, I observed an Orb flying low zipping around like it was filming the area.",3/4/2016
2/27/16 22:37,Eastham,MA,Sphere,30 minutes,"Multiple ""bulbs"" traveling from sea shelf Coast Guard to Bayside.",3/4/2016
2/27/16 21:45,Farmington,MO,Changing,1 minute,"Large rod ufo moving toward St. Louis, Missouri, from Farmingtom, Missouri.",3/4/2016
2/27/16 21:20,Erlanger,KY,Triangle,5 minutes,Red triangular shape bouncing and hovering in the sky.,3/4/2016
2/27/16 21:15,Faribault,MN,,~3 hours,12+ UFOS Observed by Single Witness.,5/6/2016
2/27/16 20:05,Fort Collins,CO,Other,2 minutes,Dark red object flies fast in weird directions over night sky.,3/4/2016
2/27/16 20:00,Holiday,FL,Fireball,45-60 seconds,"My stepfather saw them first as he was driving home, he called my mother and I out once he drove up and toward the south west from our",3/4/2016
2/27/16 20:00,Sioux City,IA,Formation,10 seconds,My husband and I were grilling when I saw a boomerang shaped object that was translucent and very dimly lit in a peachy/pink color. It,3/4/2016
2/27/16 20:00,Plam Bay,FL,Sphere,5 minutes,Orange glowing lights over Palm Bay.,3/4/2016
2/27/16 17:35,Bethesda,MD,,1 second,"I was sitting by the window when suddenly there was a bright flash and a loud ""BOOM."" At first I was afraid NIH had been bombed.",3/4/2016
2/27/16 15:30,Delray Beach,FL,Cigar,45 minutes,"Bright, rectangular shaped object over the Atlantic Ocean, in Delray Beach, FL.",3/11/2016
2/27/16 06:00,Creede,CO,Sphere,2 minutes,"Two spheres, bright as Jupiter, then faded after several minutes.",3/4/2016
2/27/16 01:00,Dillsburg,PA,Light,3 minutes,"3 motionless, bright lights in the sky for about 3 minutes, then very quickly moved out of view.",3/4/2016
2/27/16 00:25,South Jordan,UT,Unknown,5 minutes,Red flashing lights in circular motion flying fast!,3/4/2016
2/26/16 23:30,Nogales,,Sphere,45 seconds,"Spotted the objects moving slow on the W near Nogales, AZ; 5-10 objects moving N to S. 10-25 more appear!",3/4/2016
2/26/16 21:22,Poland,ME,Triangle,15 seconds,Triangle craft moving slowly with a blue light in each point. The front facing point was shining a bright beam of light.,3/4/2016
2/26/16 20:30,Houston,TX,Triangle,10 seconds,I saw a traingle shaped object in the sky no lights but blended into the darkness like it was moving through water. Lasted few seconds,3/4/2016
2/26/16 20:20,Cedar Hill/Burnsmill,MO,Cone,Ongoing,"This ""thing"" was flashing colors, and every few often the horizon line would glow. ((NUFORC Note: Possibly Sirius? PD))",3/4/2016
2/26/16 20:03,Chandler,AZ,Light,3 minutes,Heard a loud helicopter so I knew it was military and I ran outside right after my house began to tremble. Saw a helicopter fly right o,3/4/2016
2/26/16 19:30,Sacaton,AZ,Disk,30 seconds,"Was exiting Gila River Reservation, Sacaton. Noticed three lights blinking, just hovering near the desert, east of Interstate 10.",3/4/2016
2/26/16 19:20,White Sulphur Springs,MT,Disk,20 minutes,"S sky bright lights, white, green and red flashing with no movement for 20 min. +. ((NUFORC Note: Possible sighting of Sirius? PD))",3/4/2016
2/26/16 15:00,Gainesville,MO,Cylinder,5-8 seconds,"Was outside walking my cat and seen this object fly over.
It made no sound, had no wings. Possibly no windows. It was Cylinder shape",3/4/2016
2/26/16 13:11,Palm Springs,AZ,Disk,1 second,"Picture taken, object cannot be explained. No reflection possible we can explain. Have photo to share",4/1/2016
2/26/16 09:45,Niceville,FL,Fireball,1 minute,"4 large fireballs, veritical line, slow moving, and spaced perfectly.",3/4/2016
2/26/16 09:06,Chandler,AZ,Light,~2 seconds,Daytime silver streak.,2/26/2016
2/26/16 05:50,Lower Mount Bethel,PA,Triangle,15 seconds,"Triangular craft observed in the sky at sunrise, moving west to east, right above the tree line.",2/26/2016
2/26/16 01:15,Daimus (Spain),,Triangle,30 seconds,"2 huge crafts flew over us, then stopped 500 meters away, then took of vertically with high speed. They where as large as oil tankers.",2/26/2016
2/26/16 01:10,Brookings,SD,Diamond,10 minutes,Moving star-like object with short red and blue beams coming out of it.,2/26/2016
2/26/16 00:50,Vancouver (Canada),BC,Disk,1/1 minutes,"I observed UFO through 15x70 binoculars, so close that I could see black dust on the walls of the ""vehicle.""",3/4/2016
2/26/16,Lompoc,CA,Light,,Mysterious light activity observed during rocket launch from VAFB,3/4/2016
2/25/16 22:30,Hamilton,MT,Light,2 minutes,Lights surrounding an airplane with helicopter in pursuit.,2/26/2016
2/25/16 21:25,Alamogordo,NM,Sphere,5 minutes,"We saw 2 orange orbs stationary, side by side on the horizon. Within seconds, the first orb disappeared, then the second disappeared.",2/26/2016
2/25/16 21:00,Waterflow,NM,Light,~2 minutes,"Two bright lights disappear over Farmington, NM.",2/26/2016
2/25/16 19:00,Johnson Creek (on outskirts of; on Hwy 94 east),WI,Triangle,2 minutes,Triangle shaped ufo clearly seen coming back to Milwaukee from the WIAA state wrestling tournament. Was initially thought to be a helic,3/11/2016
2/25/16 12:45,Rancho Bernardo,CA,Formation,15 minutes,A formation of objects swirling and changing brightness.,2/26/2016
2/25/16 04:15,Clements,AL,Circle,5 seconds,White sphere.,2/26/2016
2/25/16 00:00,Jacksonville,FL,Circle,2 sequential nights,"((HOAX??)) I stepped outside during night hours and look up to the sky, because I'm a skeptic. Started seeing these odd white lights.",3/4/2016
2/24/16 20:45,Sodaville,OR,Disk,4-5 minutes,Disc shaped glowing lights tonight with pictures and video!,2/26/2016
2/24/16 19:25,Copan,OK,Other,5 minutes,"We were driving back from Dewey, OK; my husband who was sitting passenger said look at that!! There was three bright, orange lights.",2/26/2016
2/24/16 19:00,Spokane,WA,Light,10-15 seconds,Bright star like object that crossed sky then went straight up out of sight.,2/26/2016
2/24/16 19:00,El Dorado,KS,Unknown,10 minutes,"Three strange disappearing lights outside of Towanda/El Dorado, Kansas.",2/26/2016
2/23/16 22:45,Riverside,CA,Light,4 seconds,"Strange light appears out of thin air and shoots down into earth, but not before disappearing again.",3/4/2016
2/23/16 22:00,Dieppe (Canada),NB,Fireball,2 minutes,"Glowing orange star, or Mars look-alike, floating in sky.",3/4/2016
2/23/16 20:00,Meridian,ID,Circle,3 months,First time I saw it I ignored it. Thought it was an airplane or some flickering Star that would go away. But every night now for about,2/26/2016
2/23/16 18:55,Auburn,WA,Formation,~5 minutes,"Two formations of bright objects (13 in total) flying from East to West over the Auburn Valley, in WA.",2/26/2016
2/23/16 18:50,Auburn,WA,Cylinder,12 minutes,"They came at first a few together than more in larger groups then smaller scattered groups, last just 3 then 1, all coming from the nor",2/26/2016
2/23/16 18:15,Leander,TX,Cigar,2-3 minutes,Cigar-shaped object about the size of an airliner tracking slowly across the sky.,2/26/2016
2/23/16 16:10,Phalaborwa (South Africa),SK,Cone,5 minutes,"Strange light over Northern Phalaborwa/Kruger National Park, South Africa.",3/4/2016
2/23/16 06:45,Livermore,CA,Cone,10 seconds,Cone shaped several colors falling fast right in front of moon,2/26/2016
2/22/16 23:50,Ft. Myers,FL,Light,30 seconds,"Very quick moving yellow/orange light moving away from me below clouds, went over horizon and did not see again",2/26/2016
2/22/16 23:45,Warren,MI,Other,45 minutes,Star burst object.,2/26/2016
2/22/16 23:35,Fredericksburg,VA,Sphere,3 minutes,This wasn't natural seem to be large slow moving no sound and extremely bright lighting up tree tops.,2/26/2016
2/22/16 23:30,Kansas City,KS,Light,1 hour +,"White/blue light seen southwest of Kansas City, Kansas.",2/26/2016
2/22/16 22:00,Binghamton,NY,Circle,20,3 circles of lights with little light clusters in the centers of each. Hovering slowly.,2/26/2016
2/22/16 22:00,Alamogordo,NM,Sphere,5 minutes,Outside @~ 8:00pm on the E bench of the mountains above the city. We noticed some orange orbs flashing on and off north of the base.,2/26/2016
2/22/16 21:40,Vancouver,OR,Disk,30 seconds,"Blue object over Portland, Oregon.",2/26/2016
2/22/16 20:00,Mountlake Terrace,WA,Sphere,10 minutes,((HOAX??)) Flying red and orange round lights in sky.,2/26/2016
2/22/16 19:39,Milford,NH,Unknown,,Arriving home my wife and I saw two purple lights. At first glance I assumed they were planes then one double backed on its self the o,2/26/2016
2/22/16 19:00,Lebanon,MO,Fireball,90 minutes,"Several Orange Globe Fireball Lights Low in the Sky, Winking Out and Coming Back In Other Locations.",2/26/2016
2/22/16 19:00,Durham,NC,Light,a few minutes,Two green one white light seen over South Square.,2/26/2016
2/22/16 18:56,Wilkeson,WA,Triangle,2 minutes,"Triangle shaped craft spotted above Wilkeson, WA.",3/11/2016
2/22/16 13:00,Odessa,FL,Circle,1 minute,"On February 22, 2016, at approx. 13:00 hrs., this obj. in the photo flew by in a NE dir.. ((NUFORC Note: Lens flare from Sun. PD))",2/26/2016
2/22/16 06:30,Tracy,CA,Light,1 minute,Blue light streaking across Tracy.,2/26/2016
2/22/16 06:15,Preston,MN,Teardrop,20 minutes,"My mom, two brothers, and myself were driving down the road from Fountain to Preston and as we were driving we saw a floating craft wit",2/26/2016
2/22/16 06:00,Cincinnati,OH,Light,2 minutes,Bright light moving south to north very high rate of speed was not a plane brightness of a star,2/26/2016
2/22/16 04:16,Bakersfield,CA,Light,16 minutes,Saw an unidentifiable flying object in the sky shooting beams of light during an earthquake.,2/26/2016
2/22/16 04:13,Bel Air,MD,,1 seconds,"Mysterious, large boom shakes house, 4am.",2/26/2016
2/21/16 21:30,San Rafael,CA,Light,25 minutes,Triangular and rectangular formations of hovering lights over Bay,2/26/2016
2/21/16 20:45,Grand Rapids,MI,Sphere,4 minutes,5-6 orbs in the form of a line in 4 and 2 behind it with gaps in between. Yellow/orange colored over antenna in the city,4/22/2016
2/21/16 19:20,Sandy,OR,Fireball,<20 seconds,Huge ball of light falls to earth after stalling.,2/26/2016
2/21/16 19:00,Harrison,NY,Circle,5 minutes,"At approximately 7:00 pm on February 21, 2016 Myself, my husband & my son saw 11-12 clear bright orange lights moving in a v formation",2/26/2016
2/21/16 15:15,Baltimore,MD,Oval,2.5 minutes,Three oval-shaped objects came together and flew in formation before separating and flying away.,2/26/2016
2/21/16 06:50,Arvada,CO,Circle,5 minutes,"Small balls of light changing positions, sharp turns.",2/26/2016
2/20/16 23:45,San Luis Obispo,CA,Fireball,3 minutes,"Orange fireball, emitted a blinking object and flew upwards until it was as small as a star.",2/26/2016
2/20/16 23:00,Suffield,CT,Light,2-3 minutes,"Strange orange constant glowing light, coming over from the mountain top of West Suffield area, heading towards Southwick, Congamond",2/26/2016
2/20/16 20:30,Oak Island,NC,Circle,45 minutes,"Red-orange circular objects seen in southern sky over ocean off of Oak Island, NC",4/29/2016
2/20/16 20:00,Lordstown,OH,Unknown,21:00,Two large craft hovering over Lordstown (Trumbull/Mahoning County border).,2/26/2016
2/20/16 19:40,Lakeland,FL,Circle,2 minutes,Eight gold colored orbs of light.,2/26/2016
2/20/16 19:30,Gresham,OR,Flash,2 seconds,Super bright flash of light a week after a wave of UFO sightings,3/11/2016
2/20/16 19:00,Belleville,NJ,Circle,10 minutes,4 ufos moving silently across the sky. 2 were in formation.,2/26/2016
2/20/16 18:45,Hanover,PA,Light,5 minutes,"6 red lights moving slowly, in two sets of 3, E to W, changing formations. Have video footage of second set.",2/26/2016
2/20/16 18:00,Saint Francis,KS,Changing,45 seconds,My friend and I were driving down the road and looked up over a wheat field and seen one red dot that was stationary.,2/26/2016
2/20/16 17:50,Towson,MD,Fireball,60 seconds,"Noticed streaks in the sky while driving. At first one, then two, then three.",2/26/2016
2/20/16 16:20,Peoria,AZ,Light,45 seconds,Set of four lights flying in formation.,2/26/2016
2/20/16 16:00,Emmett,ID,Light,4 minutes,"Diamond shaped light hovering over hills, radio station fuzzed out.",2/26/2016
2/20/16 05:07,Colerain Township,OH,Cylinder,2 minutes,Cylindrical object in the southern sky with glowing red and white lights in the lower half.,2/26/2016
2/20/16 02:00,Wichita,,Other,5 minutes,I noticed an object that had emerald green lights over Kellogg and it was going W and stopped and started going E.,2/26/2016
2/20/16 01:04,Mesa,AZ,Triangle,1 minute,"Very low, large, fast traveling lights that just disappeared quickly with no clouds in the sky. There were 3 lights in a triangle shape",2/26/2016
2/19/16 23:00,Esko,MN,Circle,20 minutes,"I was letting my dogs back in from outside, and suddenly noticed something moving, at first I thought it was an airplane, but clearly w",2/26/2016
2/19/16 22:05,Newtown,OH,Light,<10 seconds,"A very bright light, brighten than star, appeared then shot off straight, and stopped again., three times then disappeared rapidly.",2/26/2016
2/19/16 21:55,Florence,AL,Light,2 minutes,"6 lights in line formation moving northeast from Oneil bridge area over Florence, AL.",2/26/2016
2/19/16 21:15,Hoffman,IL,Teardrop,5 seconds,"Greenish white fireball ,that was going west in a descending arc, brightly visible for several seconds.",2/26/2016
2/19/16 21:00,Churchville,PA,Egg,3-5 seconds,"After hearing helicopter in area for approx. 5 minutes, I looked out window and coming from S to N is a helicopter.",2/26/2016
2/19/16 21:00,Kingston,IL,Light,5 minutes,"5 hovering lights near Kingston, IL.",2/26/2016
2/19/16 21:00,Columbus,OH,Flash,2 hours,"Over the South side of Columbus, Ohio.",2/26/2016
2/19/16 20:43,Evansville,IN,Circle,5 seconds,Blue and white streak with tail traveling in NE sky that disappeared then followed by a blue circular shape with a white ring twice.,2/26/2016
2/19/16 19:45,Pueblo,CO,Sphere,1 minute,"Group of 6-7 red-orange spheres, moving independently at different altitudes",2/26/2016
2/19/16 19:32,Santa Rosa,CA,Light,20 minutes,My husband and I watched 4 orange lights fly slowly and quietly towards us over a fairly busy intersection.As they ascended the lights,2/26/2016
2/19/16 19:30,Nashville,TN,Light,>30 minutes,Two Large Oval Lights Above the Clouds Two Nights in One Week,2/26/2016
2/19/16 18:51,Estrella (west of Phoenix),AZ,Light,5 minutes,"Cluster of 13 Lights over Estrella, AZ, seen for 5 minutes by two witnesses.",2/26/2016
2/19/16 18:43,Avondale,AZ,Light,2 minutes,"15-20 lights in the horizon, bright very close together, all disappeared within 5 seconds of each other. Video from Avondale.",2/26/2016
2/19/16 18:38,Phoenix,AZ,Formation,6 minutes,"At first sight, we thought...the Phoenix Lights are back!!!",2/26/2016
2/19/16 18:30,Maricopa,AZ,Formation,10-15 minutes,Strange cluster of bright white lights over the southwest sky,2/26/2016
2/19/16 18:30,Gainesville,MO,Triangle,5 minutes,"My boyfriend and I have been seen an Object North of us.
There is Fields and cattle that direction.
We see this object off and o",3/4/2016
2/19/16 11:00,Tallapoosa,,Sphere,All night long,Hovering lights.,2/26/2016
2/19/16 09:00,Madisonville,LA,Light,10 minutes,Was on Tchefuncte River and three orange lights with one red blinking in formation but got over town you can see the silhouette of one,2/26/2016
2/19/16 06:30,Maricopa,AZ,Rectangle,10 minutes,Multi light formation high in the sky,2/26/2016
2/19/16 00:45,Blue Springs,,Circle,hours,"Bright white with rotating colored lights-blue/red/green, silent, stationary. Visible with naked eye. ((NUFORC Note: Star? PD))",2/26/2016
2/18/16 22:00,Glens Falls,NY,Light,20 minutes,"Erratic lights seen, which exchanged position and flashed out and on again.",2/19/2016
2/18/16 21:00,Victoria (above)(Canada),BC,Light,20 seconds,ZIG ZAGGING SATELLITE EVENTUALLY MAKING A TURN OVER CLOUD COVER,2/26/2016
2/18/16 20:45,Anchorage,AK,Circle,3-5 minutes,"Orange circular craft hovering over House in Anchorage, AK. ((NUFORC Note: Video on NUFORC homepage. PD))",2/19/2016
2/18/16 19:00,Foresthill,CA,Cone,13 minutes,"Obj. was flashing different color lights, blue red and chrome like. Was hovering above the mountain top. ((NUFORC Note: Sirius? PD))",2/19/2016
2/18/16 19:00,Gallatin (town of; Red Hook zip),NY,Other,3 minutes,Large boomerang shaped object in the night sky.,2/26/2016
2/18/16 18:44,Chandler,AZ,Light,5 minutes,Two clusters of orange flashing/flickering objects over Chandler,2/19/2016
2/18/16 18:10,Salem,NH,Light,4 minutes,"Bright ball of light over Salem, NH; 2 witnesses.",2/26/2016
2/18/16 18:00,New Hampton,NH,Triangle,5-10 minutes,"Object moving in one direction, and then switched directions, heading the opposite way. Triangular shaped, three white lights at each t",2/19/2016
2/17/16 22:30,Philadelphia,PA,Light,10 minutes,4 orange lights seen moving W to E over Philadelphia. Two lights moving together at some distance suddenly got close to each othe,2/19/2016
2/17/16 20:40,Farmington/Helenville,WI,Formation,5 minutes,"3 red lights, one blinking, moving in formation or possibly on vehicle",2/26/2016
2/17/16 20:30,Chicopee,MA,Light,5 minutes,"2 slow, silent lights 1 mile away from WARB; followed quickly by 2 black military helicopters.",2/19/2016
2/17/16 20:00,Spring Prairie,WI,Unknown,?,"Was driving N on Hwy. 120, just S of Hwy. 11, when above my car flew a triangular plane-like formation of 3 bright green lights.",2/19/2016
2/17/16 19:45,Cape Coral,FL,Triangle,6 minutes,Florida is a Hot Spot for Black Budget aircraft and Space Capable vehicles,2/19/2016
2/17/16 19:44,Hong Kong (pilot report; in-flight),,Sphere,4-5 minutes,"Airline Captain and 1st Officer witness a bright blue, stationary, object in the northern sky, perhaps at 60,000' altitude.",2/19/2016
2/17/16 19:30,Wellton,AZ,Formation,45 minutes,Formation of bright orange lights appearing and disappearing over AZ desert.,2/26/2016
2/17/16 19:30,Miami (Suburbs),FL,Triangle,10 minutes,"Triangle formation, three lights proceeding one red light.",2/19/2016
2/17/16 19:00,Martinsville,VA,Circle,~3 minutes,Three circular formations of green lights seemed to float in the sky around 7:00.,2/19/2016
2/17/16 19:00,Greeley,CO,Fireball,5 minutes,"2 orange glowing balls in the air, not flashing red or white like airplanes, traveling very slow then one cut W and slowly disappears.",2/19/2016
2/17/16 18:08,Yonkers,NY,Light,9 seconds,"White star-like, comet-like object with white trail.",2/19/2016
2/17/16 18:05,Rocky Ford,CO,Unknown,40 minutes,"Strange Lights Date: 2-17-16 Time: 18:05 to 18:45 Location: Downtown Rocky Ford, Colo.
Conditions: Night, partly clouded sky (Black",2/19/2016
2/17/16 16:49,Portage,IN,Triangle,30 seconds,It was a black figure almost like a v it had at least 60 lights it came down low I got a good look then took off in a blink of an eye.,2/19/2016
2/17/16 02:00,New London,WI,Flash,10-15 minutes,Random pulses of bright white light some brighter than others randomly appeared in the sky with no associated sound or heading .,2/19/2016
2/17/16 00:00,Tulsa,OK,Light,10 minutes,"It was a light going in half a circle every 6 seconds; it made a whistling sound, then it stopped and a car alarm went off.",2/19/2016
2/16/16 22:30,Casa Grande (near),AZ,Light,5 minutes,Bright pair of white lights south of Phoenix area.,2/26/2016
2/16/16 21:59,Ford,WA,Circle,4 minutes,I was in my room ready for bed. I told my 18 year old to take our dog out to go to the bathroom before bed. He took her outside. Immed,2/19/2016
2/16/16 19:52,Birch Run,MI,Formation,3-4 minutes,"6 RED/ORANGE ORBS, PLUS 1--SPEED/SPACING/R SAME.",2/19/2016
2/16/16 19:19,Kill Devil Hills,NC,Fireball,,Looked like a ball of fire going fast across sky and disappear into the west sky.,2/19/2016
2/16/16 19:14,Arlington,VA,Teardrop,5 seconds,Bright fast moving glowing green object low in horizon at early evening,2/19/2016
2/16/16 19:12,Hertford,NC,Sphere,,"Green flame with tail in Hertford, NC-was it a meteor?",2/19/2016
2/16/16 17:12,Williamsburg,VA,Fireball,3-4 seconds,"Object was moving rapidly left to right, approximately 300-500' AGL, orange yellow fiery tail front end looked white/bluish in color",2/19/2016
2/16/16 17:00,Enterprise,WA,Fireball,30 seconds,A large white fireball with a smoke or vapor trail flew Northwest.,2/19/2016
2/16/16 06:45,Kasilof,AK,Light,10-15 seconds,Unidentified brilliant green/blue light appeared at children's bus stop.,2/19/2016
2/16/16 01:30,Pangburn,AR,Flash,1 minute,"Blue flash, no streaks, no flashing lights, instant direction changes.",3/4/2016
2/16/16 01:22,Federal Way,WA,Flash,Pacific Hwy,"((HOAX??)) As we were inside, the town goes completely black as we walk outside multiple green flashes were seen in the E sky.",2/19/2016
2/16/16 00:30,Federal Way,WA,Flash,2 seconds,Bright flash with no sound lighted up backyard.,2/26/2016
2/16/16 00:30,Federal Way,WA,Flash,3-5 seconds,Addendum to original report.,2/26/2016
2/16/16 00:30,Auburn,WA,,1 second,Today at 12:30am on 2/16/16 while heading southbound on Highway 167 I witnessed a blue flash in the sky while passing by the city of Au,2/19/2016
2/16/16 00:15,Rapid City,SD,Unknown,>1 hour,Sounds in the middle of the night.,2/19/2016
2/15/16 22:05,Tunkhannock,PA,Triangle,~1 minute,On a ride home after work we were driving home on the highway when we both noticed said flying object about 200-300ft directly above ou,3/24/2016
2/15/16 20:35,Virginia Beach,VA,Triangle,1 minute,Triangular object with dim orange lights.,3/18/2016
2/15/16 19:00,Dubuque,IA,Fireball,10-12 seconds,"((HOAX??)) I spotted a crimson light heading W for maybe 5 sec. It stopped, changed color to a emerald green and shot off to the W.",2/19/2016
2/15/16 18:00,Newport Beach,CA,Formation,30 minutes,Sitting on Balboa Island looking in the direction of the pavilion which is NW two objects.,2/19/2016
2/15/16 17:00,Houston,TX,Sphere,15 seconds,Red ball-like aircraft spotted from private aircraft.,2/19/2016
2/15/16 12:50,Santa Rosa,CA,Other,?,"Strangest thing... On our way to the lake, it caught the corner of my eye. The only way I can describe it is... Looked like a flying du",2/19/2016
2/15/16 09:30,Philadelphia,PA,,2-3 seconds,"((HOAX??)) One or two bright green circles flashing darted through the sky, it scared the hell out of me. I live in the NW Phila..",2/19/2016
2/15/16 03:37,Pingrup (Australia),,Unknown,50 minutes,"Common sightings in the mornings of red and green aircraft of some sort flying low altitudes above the township of pingrup,, Western Au",2/19/2016
2/15/16 03:00,East Aurora,NY,Triangle,10 minutes,I was traveling south bound on the 400. I noticed in the distance above trees what looked like a Chinese lantern but very bright as if,2/19/2016
